John,Smith,25,Google;01/01/2010;10/10/2011,Microsoft;23/1/2012;10/10/2012,Apple;01/01/2014;10/10/2015
Jane,Doe,30,Microsoft;05/03/2012;10/10/2013,Apple;15/07/2014;10/10/2015,Google;01/01/2016;10/10/2017
Mark,Johnson,28,Apple;01/01/2012;10/10/2013,Google;15/04/2014;10/10/2015,Microsoft;01/01/2016;10/10/2017
Emily,Anderson,35,Google;01/01/2008;10/10/2010,Apple;23/1/2011;10/10/2013,Microsoft;01/01/2015;10/10/2017
Michael,Williams,32,Microsoft;05/03/2010;10/10/2012,Apple;15/07/2012;10/10/2014,Google;01/01/2015;10/10/2017
Jennifer,Brown,27,Apple;01/01/2013;10/10/2014,Microsoft;23/1/2015;10/10/2016,Google;01/01/2017;10/10/2018
William,Miller,31,Google;01/01/2009;10/10/2011,Microsoft;23/1/2012;10/10/2013,Apple;01/01/2015;10/10/2017
Sophia,Davis,29,Microsoft;05/03/2012;10/10/2013,Apple;15/07/2014;10/10/2015,Google;01/01/2016;10/10/2017
James,Clark,34,Apple;01/01/2011;10/10/2012,Google;23/1/2013;10/10/2014,Microsoft;01/01/2016;10/10/2018
Olivia,Lewis,26,Google;01/01/2014;10/10/2015,Microsoft;23/1/2016;10/10/2017,Apple;01/01/2018;10/10/2019
